"","x"
"440","BRD.K21528677.001.03.6"
"441","BRD.K77947974.001.16.3"
"442","BRD.K54262262.001.09.0"
"443","BRD.K78010432.001.21.5"
"444","BRD.K82143716.001.19.9"
"445","BRD.K78113049.001.16.2"
"446","BRD.K31731454.237.02.5"
"447","BRD.K33226500.001.01.0"
"448","BRD.K31812033.003.11.0"
"449","BRD.K49075727.001.08.5"
"450","BRD.A67097164.001.18.7"
"451","BRD.K44942604.346.05.4"
"452","BRD.A49160188.003.12.7"
"453","BRD.K49328571.001.15.0"
"454","BRD.K49350383.001.13.7"
"455","BRD.A49399758.015.01.8"
"456","BRD.K67277431.002.10.5"
"457","BRD.A63310107.001.04.8"
"458","BRD.A31521121.001.26.4"
"459","BRD.A16296925.001.01.3"
"460","BRD.K78692225.001.24.5"
"461","BRD.K49671696.045.08.5"
"462","BRD.A49765801.001.04.1"
"463","BRD.K49807096.003.15.5"
"464","BRD.K66876909.001.12.6"
"465","BRD.K32247306.001.29.4"
"466","BRD.K79501723.001.04.6"
"467","BRD.K79602928.003.19.9"
"468","BRD.K79759585.048.04.8"
"469","BRD.A79768653.001.12.0"
"470","BRD.K33211335.004.01.7"
"471","BRD.K34469523.003.03.0"
"472","BRD.K50398167.236.22.7"
"473","BRD.K50422030.001.05.3"
"474","BRD.K99300445.003.21.6"
"475","BRD.K50590187.001.19.9"
"476","BRD.K64994968.001.32.5"
"477","BRD.K51937257.001.01.4"
"478","BRD.A97730597.003.11.5"
"479","BRD.K33588785.001.01.9"
"480","BRD.K66788707.001.14.3"
"481","BRD.K02130563.001.11.4"
"482","BRD.K68264559.045.02.4"
"483","BRD.K96006502.001.02.6"
"484","BRD.K42828737.044.09.0"
"485","BRD.K29905972.001.06.3"
"486","BRD.A65671304.001.07.5"
"487","BRD.K10784860.003.02.3"
"488","BRD.K14401183.001.10.7"
"489","BRD.K50866992.003.10.3"
"490","BRD.K26862302.001.05.2"
"491","BRD.K34332569.001.01.3"
"492","BRD.K47029922.003.10.9"
"493","BRD.K97181463.003.01.1"
"494","BRD.A01563671.001.02.7"
"495","BRD.K11292736.300.02.8"
"496","BRD.K10706131.046.03.6"
"497","BRD.K65518078.002.01.1"
"498","BRD.K49481516.004.18.3"
"499","BRD.K77597856.003.02.5"
"500","BRD.K32830106.003.20.4"
"501","BRD.A79803969.003.16.1"
"502","BRD.K46791647.001.01.2"
"503","BRD.K67601717.037.02.4"
"504","BRD.K12251893.065.04.7"
"505","BRD.A44133049.003.07.8"
"506","BRD.A13946108.001.17.1"
"507","BRD.A86044036.001.26.5"
"508","BRD.K50866992.003.09.5"
"509","BRD.K71350836.001.02.4"
"510","BRD.K79425933.001.09.3"
"511","BRD.A61194565.003.27.0"
"512","BRD.K67637637.003.12.6"
"513","BRD.A95602221.003.02.1"
"514","BRD.K51471001.303.04.7"
"515","BRD.A72767275.003.01.6"
"516","BRD.K68507560.003.24.6"
"517","BRD.K18131774.001.17.6"
"518","BRD.A47494775.003.11.3"
"519","BRD.K44004064.001.07.3"
"520","BRD.K27062708.001.23.1"
"521","BRD.A17407635.001.04.0"
"522","BRD.K36788280.001.01.2"
"523","BRD.A60197193.001.14.6"
"524","BRD.A97730597.003.11.5"
"525","BRD.K33588785.001.01.9"
"526","BRD.K66788707.001.14.3"
"527","BRD.K02130563.001.11.4"
"528","BRD.K68264559.045.02.4"
"529","BRD.K96006502.001.02.6"
"530","BRD.K42828737.044.09.0"
"531","BRD.K29905972.001.06.3"
"532","BRD.A65671304.001.07.5"
"533","BRD.K10784860.003.02.3"
"534","BRD.K14401183.001.10.7"
"535","BRD.K50866992.003.10.3"
"536","BRD.K26862302.001.05.2"
"537","BRD.K34332569.001.01.3"
"538","BRD.K47029922.003.10.9"
"539","BRD.K97181463.003.01.1"
"540","BRD.A01563671.001.02.7"
"541","BRD.K11292736.300.02.8"
"542","BRD.K10706131.046.03.6"
"543","BRD.K65518078.002.01.1"
"544","BRD.K49481516.004.18.3"
"545","BRD.K77597856.003.02.5"
"546","BRD.K32830106.003.20.4"
"547","BRD.A79803969.003.16.1"
"548","BRD.K46791647.001.01.2"
"549","BRD.K67601717.037.02.4"
"550","BRD.K12251893.065.04.7"
"551","BRD.A44133049.003.07.8"
"552","BRD.A13946108.001.17.1"
"553","BRD.A86044036.001.26.5"
"554","BRD.K50866992.003.09.5"
"555","BRD.K71350836.001.02.4"
"556","BRD.K79425933.001.09.3"
"557","BRD.A61194565.003.27.0"
"558","BRD.K67637637.003.12.6"
"559","BRD.A95602221.003.02.1"
"560","BRD.K51471001.303.04.7"
"561","BRD.A72767275.003.01.6"
"562","BRD.K68507560.003.24.6"
"563","BRD.K18131774.001.17.6"
"564","BRD.A47494775.003.11.3"
"565","BRD.K44004064.001.07.3"
"566","BRD.K27062708.001.23.1"
"567","BRD.A17407635.001.04.0"
"568","BRD.K36788280.001.01.2"
"569","BRD.A60197193.001.14.6"
"570","BRD.A97730597.003.11.5"
"571","BRD.K33588785.001.01.9"
"572","BRD.K66788707.001.14.3"
"573","BRD.K02130563.001.11.4"
"574","BRD.K68264559.045.02.4"
"575","BRD.K96006502.001.02.6"
"576","BRD.K42828737.044.09.0"
"577","BRD.K29905972.001.06.3"
"578","BRD.A65671304.001.07.5"
"579","BRD.K10784860.003.02.3"
"580","BRD.K14401183.001.10.7"
"581","BRD.K50866992.003.10.3"
"582","BRD.K26862302.001.05.2"
"583","BRD.K34332569.001.01.3"
"584","BRD.K47029922.003.10.9"
"585","BRD.K97181463.003.01.1"
"586","BRD.A01563671.001.02.7"
"587","BRD.K11292736.300.02.8"
"588","BRD.K10706131.046.03.6"
"589","BRD.K65518078.002.01.1"
"590","BRD.K49481516.004.18.3"
"591","BRD.K77597856.003.02.5"
"592","BRD.K32830106.003.20.4"
"593","BRD.A79803969.003.16.1"
"594","BRD.K46791647.001.01.2"
"595","BRD.K67601717.037.02.4"
"596","BRD.K12251893.065.04.7"
"597","BRD.A44133049.003.07.8"
"598","BRD.A13946108.001.17.1"
"599","BRD.A86044036.001.26.5"
"600","BRD.K50866992.003.09.5"
"601","BRD.K71350836.001.02.4"
"602","BRD.K79425933.001.09.3"
"603","BRD.A61194565.003.27.0"
"604","BRD.K67637637.003.12.6"
"605","BRD.A95602221.003.02.1"
"606","BRD.K51471001.303.04.7"
"607","BRD.A72767275.003.01.6"
"608","BRD.K68507560.003.24.6"
"609","BRD.K18131774.001.17.6"
"610","BRD.A47494775.003.11.3"
"611","BRD.K44004064.001.07.3"
"612","BRD.K27062708.001.23.1"
"613","BRD.A17407635.001.04.0"
"614","BRD.K36788280.001.01.2"
"615","BRD.A60197193.001.14.6"
"616","BRD.K61237927.001.01.7"
"617","BRD.A75850590.213.01.0"
"618","BRD.K15697815.001.16.2"
"619","BRD.K75958195.037.09.4"
"620","BRD.K32768103.051.02.6"
"621","BRD.A88369366.001.01.7"
"622","BRD.K88366685.300.06.0"
"623","BRD.K88429204.001.35.1"
"624","BRD.K88510285.001.11.1"
"625","BRD.K26657438.001.15.2"
"626","BRD.K25943794.001.02.3"
"627","BRD.K46556543.001.01.4"
"628","BRD.K29653726.001.13.4"
"629","BRD.K89208535.051.01.5"
"630","BRD.K89348303.001.14.7"
"631","BRD.K89375097.300.08.8"
"632","BRD.K89917372.001.01.2"
"633","BRD.K89997465.003.43.0"
"634","BRD.K33622447.066.01.9"
"635","BRD.K90195324.003.02.5"
"636","BRD.A28545468.003.16.6"
"637","BRD.A90547603.001.02.5"
"638","BRD.A90625545.001.02.0"
"639","BRD.A26690767.066.01.9"
"640","BRD.K91111634.001.01.2"
"641","BRD.K91263825.003.21.4"
"642","BRD.K91315211.300.05.7"
"643","BRD.K28667793.001.28.1"
"644","BRD.A42167015.003.10.2"
"645","BRD.K27316855.001.19.0"
"646","BRD.K28143534.003.25.9"
"647","BRD.A91699651.316.10.9"
"648","BRD.K99615199.001.18.5"
"649","BRD.K61192372.001.08.9"
"650","BRD.K92049597.001.20.8"
"651","BRD.K92093830.003.30.8"
"652","BRD.A29260609.003.26.0"
"653","BRD.A25234499.001.18.3"
"654","BRD.A54490543.066.11.9"
"655","BRD.K51671335.001.10.6"
"656","BRD.A98845662.036.03.7"
"657","BRD.A98990573.003.01.3"
"658","BRD.K99792991.001.34.9"
"659","BRD.A99939097.001.24.2"
"660","BRD.K10799896.001.26.2"
"661","BRD.A02759312.003.24.5"
"662","BRD.K38911213.003.01.6"
"663","BRD.K64716392.001.01.3"
"664","BRD.K36859431.300.02.3"
"665","BRD.K07940445.310.02.9"
"666","BRD.K99383816.001.02.7"
"667","BRD.A65051990.001.12.9"
"668","BRD.K91740057.001.19.8"
"669","BRD.A15931911.001.03.8"
"670","BRD.K30421593.050.04.9"
"671","BRD.K61237927.001.01.7"
"672","BRD.A75850590.213.01.0"
"673","BRD.K15697815.001.16.2"
"674","BRD.K75958195.037.09.4"
"675","BRD.K32768103.051.02.6"
"676","BRD.A88369366.001.01.7"
"677","BRD.K88366685.300.06.0"
"678","BRD.K88429204.001.35.1"
"679","BRD.K88510285.001.11.1"
"680","BRD.K26657438.001.15.2"
"681","BRD.K25943794.001.02.3"
"682","BRD.K46556543.001.01.4"
"683","BRD.K29653726.001.13.4"
"684","BRD.K89208535.051.01.5"
"685","BRD.K89348303.001.14.7"
"686","BRD.K89375097.300.08.8"
"687","BRD.K89917372.001.01.2"
"688","BRD.K89997465.003.43.0"
