"","x"
"196","BRD.K08525451.003.05.2..2.5..HTS"
"197","BRD.K08542803.001.03.1..0.8..HTS"
"198","BRD.K08547377.394.03.5..2.5..HTS"
"199","BRD.K08586861.001.01.1..2.5..HTS"
"200","BRD.K08619574.334.05.4..2.5..HTS"
"201","BRD.K08799216.001.05.3..2.5..HTS"
"202","BRD.K08893438.001.04.9..2.52..HTS"
"203","BRD.K08996725.332.01.7..2.5..HTS"
"204","BRD.K09090949.001.01.9..2.5..HTS"
"205","BRD.K09372874.001.01.0..2.5..HTS"
"206","BRD.K09416995.001.39.9..2.5..HTS"
"207","BRD.K09426783.300.01.0..2.5..HTS"
"208","BRD.K09443272.001.03.3..2.5..HTS"
"209","BRD.K09602097.001.13.6..2.5..HTS"
"210","BRD.K09877029.001.01.2..2.5..HTS"
"211","BRD.K09900591.001.26.7..2.5..HTS"
"212","BRD.K09951645.001.06.8..2.5..HTS"
"213","BRD.K10065684.001.07.4..2.5..HTS"
"214","BRD.K10071630.001.01.0..2.5..HTS"
"215","BRD.K10362825.001.03.4..2.5..HTS"
"216","BRD.K10705233.001.02.2..2.5..HTS"
"217","BRD.K10784860.003.02.3..2.5..HTS"
"218","BRD.K10843433.001.22.7..2.5..HTS"
"219","BRD.K10961822.001.05.1..2.5..HTS"
"220","BRD.K11196887.001.22.0..2.49..HTS"
"221","BRD.K11215326.001.03.7..2.31..HTS"
"222","BRD.K11267252.001.04.4..2.5..HTS"
"223","BRD.K11433652.001.17.0..2.5..HTS"
"224","BRD.K11630072.001.13.2..2.5..HTS"
"225","BRD.K11636097.001.03.1..2.5..HTS"
"226","BRD.K11640013.236.10.1..2.5..HTS"
"227","BRD.K11663430.001.02.3..2.5..HTS"
"228","BRD.K11853856.001.01.7..2.5..HTS"
"229","BRD.K11927976.050.02.9..2.5..HTS"
"230","BRD.K11973162.003.01.8..2.5..HTS"
"231","BRD.K12040459.001.06.0..2.5..HTS"
"232","BRD.K12068470.001.02.5..2.36..HTS"
"233","BRD.K12184916.001.15.4..2.5..HTS"
"234","BRD.K12251893.065.04.7..2.5..HTS"
"235","BRD.K12343256.001.08.9..2.5..HTS"
"236","BRD.K12502280.001.08.0..2.5..HTS"
"237","BRD.K12539581.001.23.7..2.5..HTS"
"238","BRD.K12787259.001.04.3..2.5..HTS"
"239","BRD.K12829205.003.02.8..2.5..HTS"
"240","BRD.K12867552.001.04.7..2.5..HTS"
"241","BRD.K12885236.001.02.7..2.5..HTS"
"242","BRD.K13044802.213.20.7..2.5..HTS"
"243","BRD.K13049116.001.05.7..2.5..HTS"
