"","x"
"362","XYLT2..64132."
"363","RGPD5..84220."
"364","STMN4..81551."
"365","NUDCD3..23386."
"366","ISL1..3670."
"367","CHDH..55349."
"368","IL20RA..53832."
"369","CLCA1..1179."
"370","CLCA4..22802."
"371","GLT8D1..55830."
"372","ATP2C1..27032."
"373","IGF1..3479."
"374","SLC38A5..92745."
"375","RALBP1..10928."
"376","RUFY3..22902."
"377","CNTN1..1272."
"378","SLC11A1..6556."
"379","WWTR1..25937."
"380","AGPS..8540."
"381","CXorf56..63932."
"382","ATP1A2..477."
"383","TTC27..55622."
"384","ZNF582..147948."
"385","VSIG2..23584."
"386","PHLDB1..23187."
"387","MARCO..8685."
"388","CYP24A1..1591."
"389","PRDM11..56981."
"390","SYT13..57586."
"391","SNAI2..6591."
"392","CD74..972."
"393","HGF..3082."
"394","ZRANB1..54764."
"395","NCDN..23154."
"396","ADGRA2..25960."
"397","ZFP64..55734."
"398","MNAT1..4331."
"399","SAMD4A..23034."
"400","RUNX3..864."
"401","MRE11..4361."
"402","PLEKHB1..58473."
"403","SERPINB1..1992."
"404","CYP3A43..64816."
"405","SLC7A9..11136."
"406","SPAST..6683."
"407","NRXN3..9369."
"408","OSBPL5..114879."
"409","AQR..9716."
"410","CPS1..1373."
"411","C8B..732."
"412","FHL1..2273."
"413","RTF2..51507."
"414","GABRA1..2554."
"415","NLRP2..55655."
"416","SLC45A4..57210."
"417","RNF10..9921."
"418","ZNF839..55778."
"419","ZDHHC6..64429."
"420","GRAMD1B..57476."
"421","RNH1..6050."
"422","NDUFS1..4719."
"423","RB1CC1..9821."
"424","ERP44..23071."
"425","ALAS1..211."
"426","BIRC3..330."
"427","AKAP11..11215."
"428","GLRX2..51022."
"429","SNAPC1..6617."
"430","DERA..51071."
"431","STRAP..11171."
"432","ABCC2..1244."
"433","DEF6..50619."
"434","PLEKHO1..51177."
"435","GCLM..2730."
"436","UBR2..23304."
"437","EHD2..30846."
"438","DEPDC1..55635."
