"","x"
"746","GNA15"
"747","CREB3L3"
"748","PIGV"
"749","PTPRU"
"750","SNRNP40"
"751","RIMBP2"
"752","COL11A1"
"753","QSER1"
"754","MPC1"
"755","ACAA1"
"756","BCAT1"
"757","HDAC7"
"758","LZTS1"
"759","SPAG4"
"760","NCKAP1"
"761","MRPS35"
"762","GUCY1B1"
"763","SFSWAP"
"764","TNK2"
"765","MON2"
"766","CDH3"
"767","GPBP1"
"768","DGAT2"
"769","ZNF112"
"770","CS"
"771","LTK"
"772","MRPS24"
"773","ELMO2"
"774","WAPL"
"775","VMP1"
"776","APPBP2"
"777","POLD1"
"778","SEZ6"
"779","EIF4B"
"780","SLC6A16"
"781","BICRA"
"782","SPHK2"
"783","RPL18"
"784","CA11"
"785","ISOC2"
"786","U2AF2"
"787","EPN1"
"788","MED29"
"789","AHRR"
"790","ZNF275"
"791","MTMR1"
"792","GPC1"
"793","ADCK1"
"794","HAGH"
"795","RNF4"
"796","CASP8"
"797","LIMCH1"
"798","INTS13"
"799","TM7SF3"
"800","DLX3"
"801","SPA17"
"802","TSPAN32"
"803","CCN5"
"804","ST3GAL6"
"805","ATP2C2"
"806","NGFR"
"807","CDON"
"808","TAF2"
"809","HIPK2"
"810","TNPO3"
"811","RFXANK"
"812","TMEM161A"
"813","LPAR2"
"814","CTSA"
"815","SUGP2"
"816","SLC12A2"
"817","SNX24"
"818","EYA2"
"819","CNN2"
"820","ABCA7"
"821","SNCAIP"
"822","DDX20"
"823","BTBD1"
"824","FAR2"
"825","BCAS1"
"826","CHI3L2"
"827","SBNO2"
"828","PMS1"
"829","HMG20B"
"830","CALCRL"
"831","TAF11"
"832","ANKS1A"
"833","AP3D1"
"834","ZNF76"
"835","SLC9A3R2"
"836","NTHL1"
"837","UHRF1BP1"
"838","GNAI3"
"839","IPO5"
"840","OAT"
"841","WDR3"
"842","PKN2"
"843","WDR18"
"844","TRAM2"
"845","NTN1"
"846","GLP2R"
"847","MCM10"
"848","DGKA"
"849","ERBB3"
"850","ROPN1"
"851","ANKRD44"
"852","KARS1"
"853","ADAT1"
"854","PDIA5"
"855","TBC1D22B"
"856","NDUFB4"
"857","SPEN"
"858","MYLK"
"859","ZC3H15"
"860","MAP2K4"
"861","PACC1"
"862","SNAP91"
"863","SLK"
"864","CYB5R4"
"865","COL17A1"
"866","GSTO2"
"867","SEC61A2"
"868","PRKCQ"
"869","TLE2"
"870","ASB1"
"871","FAM107B"
"872","ME1"
"873","TBC1D1"
"874","CDK13"
"875","MTHFD2"
"876","SLC9A7"
"877","FOXJ2"
"878","YBX1"
"879","PDE4A"
"880","PPP2R5A"
"881","CTNNA2"
"882","ELAVL1"
"883","TIE1"
"884","DIP2B"
"885","SMARCD1"
"886","KDM4A"
"887","NFYC"
"888","ZMYND12"
"889","SLC9A3"
"890","NGEF"
"891","ASPM"
"892","CD84"
"893","ELOVL1"
"894","SPI1"
"895","POLR1H"
"896","MPPED2"
"897","CLDN18"
"898","ZBTB11"
"899","ATXN3"
"900","GOLGA5"
"901","FGFR2"
"902","LRRC40"
"903","ISOC1"
"904","EML1"
"905","TRMT11"
"906","THUMPD1"
"907","MSANTD3"
"908","KIF26A"
"909","ATG2B"
