"","Primary","Secondary","IM_101_Cut","BL1_Corr","BL2_Corr","M_Corr","LAR_Corr","MSL_Corr","IM_101_Corr","BL1_Cut","BL2_Cut","M_Cut","LAR_Cut","MSL_Cut"
"ACH.000677","ND","ND","0","-0.0782642766186698","-0.0792655717721836","0.134097365070036","0.0120481927710843","0.0992697075565133","-0.0595661779910972","0","0","0","0","0"
"ACH.000055","MSL","ND","0","-0.118098409899762","0.0883207627256996","0.0200367867132487","0.0146602670845986","0.241518921213309","-0.000663902221351531","0","0","0","0","1"
"ACH.000485","BL2","MSL","0","-0.0917599939051599","0.285641209825753","-0.16848967686464","0.0532536650667711","0.250857086884122","0.0741937941467768","0","1","0","0","1"
"ACH.000672","ND","ND","0","-0.0424135566656871","0.0270023182159532","-0.0658786909154232","0.111002274681381","0.183422035023563","0.120884622500844","0","0","0","0","0"
"ACH.000287","MSL","M","0","-0.0850992044056987","-0.191062352390592","0.288383887854943","-0.0184695421251401","0.352967425256582","-0.208759155864651","0","0","1","0","1"
"ACH.000784","ND","ND","0","0.105016271046245","-0.137210086960307","0.100249235424081","-0.0781336729029941","0.092630685342998","0.0108945266159489","0","0","0","0","0"
"ACH.000530","M","MSL","0","-0.153579085991663","-0.0983990161186752","0.422100325420925","-0.10960916838084","0.414982422916599","-0.341779040280363","0","0","1","0","1"
"ACH.002024","ND","ND","0","0.0891914541635376","-0.316811963300356","0.00841305601811038","0.0838584691067794","0.127327739140845","-0.0629836418846116","0","0","0","0","0"
"ACH.000380","ND","ND","0","-0.112243009980301","0.135751678801929","0.178785603117075","-0.0631142456002873","0.0370805716089289","-0.140888758285173","0","0","0","0","0"
"ACH.001737","MSL","ND","0","0.0119393563413546","-0.0798750557786702","0.0947856466516473","-0.0960916838084044","0.199899870484649","0.0674241682175858","0","0","0","0","1"
"ACH.001400","M","ND","0","-0.0471152904300127","-0.106931792209488","0.230504674524657","-0.0248038223354121","0.140279274278687","-0.215267574362491","0","0","1","0","0"
"ACH.001054","ND","ND","0","-0.137079483244632","0.132421284052198","0.0945026719343499","0.11074106725003","0.183313198593833","-0.0859263612716449","0","0","0","0","0"
"ACH.000009","M","ND","0","0.188341441647348","-0.162503673229503","0.276172440439264","-0.159086209335989","-0.0180124291202751","-0.1396697902722","0","0","1","0","0"
"ACH.000491","LAR","ND","0","-0.127262437283007","-0.404098779943623","-0.0690349473775862","0.416070787213896","0.0471370577159587","-0.0602409638554217","0","0","0","1","0"
"ACH.001703","ND","ND","0","-0.00617102556567734","-0.082247689946779","-0.0915205537597545","0.172320719191128","-0.0478336108662291","0.0793526409159674","0","0","0","0","0"
"ACH.000002","ND","ND","1","0.0786778550516429","0.102055920157595","-0.262611421294936","0.118707893906248","-0.283595084946833","0.19661301030681","0","0","0","0","0"
"ACH.001568","BL2","ND","0","-0.0943503009327282","0.286903712410618","-0.126783556992196","-0.0433277826754171","-0.228806826220873","-0.0177947562608156","0","1","0","0","0"
"ACH.000993","ND","ND","0","0.172734297624101","-0.214179210065193","-0.14848554108031","0.0130494879245981","-0.0620041140170438","0.178393791970048","0","0","0","0","0"
"ACH.000877","MSL","ND","0","-0.125455752549493","-0.269141607078721","0.162133629368422","0.036623458604064","0.44874348341877","-0.09805073954354","0","0","0","0","1"
